Criterion ID,Category
"13880,""/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Comedies"""
"13881,""/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Documentary & Nonfiction"""
"13882,""/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Dramas"""
"13883,""/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Family-Oriented Shows"""
"13884,""/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Game Shows"""
"13885,""/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Reality Shows"""
"13886,""/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Sci-Fi & Fantasy Shows"""
"13887,""/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Talent & Variety Shows"""
"13888,""/Arts & Entertainment/Entertainment Industry/Film & TV Industry/TV Broadcasting/TV Shows & Programs/TV Talk Shows"""
"13574,""/Arts & Entertainment/Entertainment Industry/Music & Recording Industry"""
"10565,""/Arts & Entertainment/Entertainment Industry/Talent Promotion"""
"13670,""/Arts & Entertainment/Entertainment Media Retailers"""
"10104,""/Arts & Entertainment/Event Entertainment"""
"10563,""/Arts & Entertainment/Event Entertainment/Bachelor & Bachelorette Parties"""
"10564,""/Arts & Entertainment/Event Entertainment/Children's Parties"""
"13751,""/Arts & Entertainment/Event Entertainment/Fireworks"""
"13492,""/Arts & Entertainment/Event Entertainment/Wedding Entertainment"""
"10111,""/Arts & Entertainment/Events, Shows & Cultural Attractions"""
"13499,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Art Fairs & Festivals"""
"10606,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Event & Show Guides & Listings"""
"10602,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Expo Events & Shows"""
"11881,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Expo Events & Shows/Car & Vehicle Shows"""
"11880,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Expo Events & Shows/Flower, Garden & Home Shows"""
"13498,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Film Festivals"""
